year,movie_name,finance,dollars
1977,Annie Hall,domgross,38251425
1977,Annie Hall,intgross,38251425
1977,Close Encounters of the Third Kind,budget,20000000
1977,Close Encounters of the Third Kind,domgross,166000000
1977,Close Encounters of the Third Kind,intgross,337700000
1977,Eraserhead,budget,100000
1977,Eraserhead,domgross,7000000
1977,Eraserhead,intgross,7000000
1977,High Anxiety,budget,3400000
1977,High Anxiety,domgross,31063038
1977,High Anxiety,intgross,31063038
1977,Julia,budget,6000000
1977,Julia,domgross,65108
1977,Julia,intgross,1365108
1977,Star Wars,budget,11000000
1977,Star Wars,domgross,460998007
1977,Star Wars,intgross,797900000
1978,Animal House,budget,3000000
1978,Animal House,domgross,141600000
1978,Animal House,intgross,141600000
1978,Dawn of the Dead,budget,28000000
1978,Dawn of the Dead,domgross,58990765
1978,Dawn of the Dead,intgross,103452875
1978,Days of Heaven,budget,3000000
1978,Days of Heaven,domgross,3446749
1978,Days of Heaven,intgross,3660880
1978,Grease,budget,6000000
1978,Grease,domgross,181813770
1978,Grease,intgross,387513770
1978,Halloween,budget,15000000
1978,Halloween,domgross,58269151
1978,Halloween,intgross,77514401
1978,I Spit on Your Grave,budget,1750000
1978,I Spit on Your Grave,domgross,93051
1978,I Spit on Your Grave,intgross,1278471
1978,Superman,budget,55000000
1978,Superman,domgross,134218018
1978,Superman,intgross,300200000
1978,The Deer Hunter,budget,15000000
1978,The Deer Hunter,domgross,50000000
1978,The Deer Hunter,intgross,50000000
1979,Alien,budget,9000000
1979,Alien,domgross,80930630
1979,Alien,intgross,203630630
1979,Apocalypse Now,budget,31500000
1979,Apocalypse Now,domgross,78800000
1979,Apocalypse Now,intgross,78800000
1979,Moonraker,budget,31000000
1979,Moonraker,domgross,70300000
1979,Moonraker,intgross,210300000
1979,Star Trek: The Motion Picture,budget,35000000
1979,Star Trek: The Motion Picture,domgross,82258456
1979,Star Trek: The Motion Picture,intgross,139000000
1979,The Amityville Horror,budget,18500000
1979,The Amityville Horror,domgross,65233369
1979,The Amityville Horror,intgross,109175673
1980,Airplane!,budget,3500000
1980,Airplane!,domgross,83453539
1980,Airplane!,intgross,83453539
1980,Can&#39;t Stop the Music,budget,20000000
1980,Can&#39;t Stop the Music,domgross,2000000
1980,Can&#39;t Stop the Music,intgross,2000000
1980,Fame,budget,18000000
1980,Fame,domgross,22455510
1980,Fame,intgross,77956957
1980,Flash Gordon,budget,35000000
1980,Flash Gordon,domgross,27107960
1980,Flash Gordon,intgross,27107960
1980,Friday the 13th,budget,17000000
1980,Friday the 13th,domgross,65002019
1980,Friday the 13th,intgross,91700771
1980,Heaven&#39;s Gate,budget,44000000
1980,Heaven&#39;s Gate,domgross,3484331
1980,Heaven&#39;s Gate,intgross,3484331
1980,Private Benjamin,budget,15000000
1980,Private Benjamin,domgross,69847348
1980,Private Benjamin,intgross,69847348
1980,Raging Bull,budget,18000000
1980,Raging Bull,domgross,23380203
1980,Raging Bull,intgross,23380203
1980,Somewhere in Time,budget,5100000
1980,Somewhere in Time,domgross,9709597
1980,Somewhere in Time,intgross,9709597
1980,Star Wars: Episode V - The Empire Strikes Back,budget,23000000
1980,Star Wars: Episode V - The Empire Strikes Back,domgross,290271960
1980,Star Wars: Episode V - The Empire Strikes Back,intgross,534171960
1980,Superman II,budget,54000000
1980,Superman II,domgross,108185706
1980,Superman II,intgross,108185706
1980,The Blues Brothers,budget,27000000
1980,The Blues Brothers,domgross,57229890
1980,The Blues Brothers,intgross,57229890
1980,The Fog,budget,18000000
1980,The Fog,domgross,29511112
1980,The Fog,intgross,37048526
1980,The Shining,budget,19000000
1980,The Shining,domgross,44017374
1980,The Shining,intgross,44017374
1981,Das Boot,budget,12000000
1981,Das Boot,domgross,11487676
1981,Das Boot,intgross,84970337
1981,Escape from New York,budget,6000000
1981,Escape from New York,domgross,25244700
1981,Escape from New York,intgross,25244700
1981,Friday the 13th Part 2,budget,1250000
1981,Friday the 13th Part 2,domgross,21722776
1981,Friday the 13th Part 2,intgross,21722776
1981,Halloween II,budget,2500000
1981,Halloween II,domgross,25533818
1981,Halloween II,intgross,25533818
1981,Heavy Metal,budget,9300000
1981,Heavy Metal,domgross,19571091
1981,Heavy Metal,intgross,19571091
1981,History of the World: Part I,budget,11000000
1981,History of the World: Part I,domgross,31672000
1981,History of the World: Part I,intgross,31672000
1981,Raiders of the Lost Ark,budget,20000000
1981,Raiders of the Lost Ark,domgross,248159971
1981,Raiders of the Lost Ark,intgross,389925971
1981,The Evil Dead,budget,375000
1981,The Evil Dead,domgross,2400000
1981,The Evil Dead,intgross,29400000
1981,Time Bandits,budget,12000000
1981,Time Bandits,domgross,37400000
1981,Time Bandits,intgross,37400000
1982,Blade Runner,budget,28000000
1982,Blade Runner,domgross,32656328
1982,Blade Runner,intgross,33139618
1982,Cat People,budget,12500000
1982,Cat People,domgross,7000000
1982,Cat People,intgross,21000000
1982,Conan the Barbarian,budget,20000000
1982,Conan the Barbarian,domgross,38264085
1982,Conan the Barbarian,intgross,79114085
1982,Diner,budget,5000000
1982,Diner,domgross,12592907
1982,Diner,intgross,12592907
1982,E.T.: The Extra-Terrestrial,budget,10500000
1982,E.T.: The Extra-Terrestrial,domgross,435110554
1982,E.T.: The Extra-Terrestrial,intgross,792965326
1982,Fast Times at Ridgemont High,budget,4500000
1982,Fast Times at Ridgemont High,domgross,27092880
1982,Fast Times at Ridgemont High,intgross,27092880
1982,First Blood,budget,14000000
1982,First Blood,domgross,47212904
1982,First Blood,intgross,125212904
1982,Friday the 13th Part III,budget,2250000
1982,Friday the 13th Part III,domgross,36690067
1982,Friday the 13th Part III,intgross,36690067
1982,Poltergeist,budget,10700000
1982,Poltergeist,domgross,74706019
1982,Poltergeist,intgross,121706019
1982,Porky&#39;s,budget,4000000
1982,Porky&#39;s,domgross,109492484
1982,Porky&#39;s,intgross,109492484
1982,Star Trek: The Wrath of Khan,budget,12000000
1982,Star Trek: The Wrath of Khan,domgross,79912963
1982,Star Trek: The Wrath of Khan,intgross,96800000
1982,The Best Little Whorehouse in Texas,budget,20500000
1982,The Best Little Whorehouse in Texas,domgross,69701637
1982,The Best Little Whorehouse in Texas,intgross,69701637
1982,Tootsie,budget,15000000
1982,Tootsie,domgross,177200000
1982,Tootsie,intgross,177200000
1982,TRON,budget,17000000
1982,TRON,domgross,26918576
1982,TRON,intgross,26918576
1983,Flashdance,budget,7000000
1983,Flashdance,domgross,90463574
1983,Flashdance,intgross,201463574
1983,Star Wars: Episode VI - Return of the Jedi,budget,32500000
1983,Star Wars: Episode VI - Return of the Jedi,domgross,309205079
1983,Star Wars: Episode VI - Return of the Jedi,intgross,572700000
1983,Superman III,budget,39000000
1983,Superman III,domgross,59950623
1983,Superman III,intgross,59950623
1983,Videodrome,budget,5952000
1983,Videodrome,domgross,2120439
1983,Videodrome,intgross,2120439
1983,WarGames,budget,12000000
1983,WarGames,domgross,74433837
1983,WarGames,intgross,74433837
1984,A nightmare on Elm Street,budget,35000000
1984,A nightmare on Elm Street,domgross,63075011
1984,A nightmare on Elm Street,intgross,117729621
1984,Amadeus,budget,18000000
1984,Amadeus,domgross,51973029
1984,Amadeus,intgross,51973029
1984,Beverly Hills Cop,budget,15000000
1984,Beverly Hills Cop,domgross,234760478
1984,Beverly Hills Cop,intgross,316300000
1984,Body Double,budget,10000000
1984,Body Double,domgross,8801940
1984,Body Double,intgross,8801940
1984,Conan the Destroyer,budget,18000000
1984,Conan the Destroyer,domgross,26400000
1984,Conan the Destroyer,intgross,26400000
1984,Dune,budget,45000000
1984,Dune,domgross,27447471
1984,Dune,intgross,27447471
1984,Friday the 13th Part IV: The Final Chapter,budget,2600000
1984,Friday the 13th Part IV: The Final Chapter,domgross,32980880
1984,Friday the 13th Part IV: The Final Chapter,intgross,32980880
1984,Ghostbusters,budget,30000000
1984,Ghostbusters,domgross,238632124
1984,Ghostbusters,intgross,291632124
1984,Gremlins,budget,11000000
1984,Gremlins,domgross,148168459
1984,Gremlins,intgross,148168459
1984,Indiana Jones and the Temple of Doom,budget,28000000
1984,Indiana Jones and the Temple of Doom,domgross,179880271
1984,Indiana Jones and the Temple of Doom,intgross,333080271
1984,Police Academy,budget,4500000
1984,Police Academy,domgross,81198894
1984,Police Academy,intgross,81198894
1984,Repo Man,budget,1500000
1984,Repo Man,domgross,2300000
1984,Repo Man,intgross,2300000
1984,Splash,budget,8000000
1984,Splash,domgross,62599495
1984,Splash,intgross,62599495
1984,Star Trek III: The Search for Spock,budget,18000000
1984,Star Trek III: The Search for Spock,domgross,76471046
1984,Star Trek III: The Search for Spock,intgross,87000000
1984,The Karate Kid,budget,40000000
1984,The Karate Kid,domgross,176591618
1984,The Karate Kid,intgross,359091618
1984,The Terminator,budget,6400000
1984,The Terminator,domgross,38019031
1984,The Terminator,intgross,78019031
1985,Back to the Future,budget,19000000
1985,Back to the Future,domgross,210609762
1985,Back to the Future,intgross,383874862
1985,Brazil,budget,15000000
1985,Brazil,domgross,9929135
1985,Brazil,intgross,9929135
1985,Commando,budget,10000000
1985,Commando,domgross,35073978
1985,Commando,intgross,35073978
1985,Day of the Dead,budget,18000000
1985,Day of the Dead,domgross,NA
1985,Day of the Dead,intgross,NA
1985,Ladyhawke,budget,20000000
1985,Ladyhawke,domgross,18400000
1985,Ladyhawke,intgross,18400000
1985,Legend,budget,25000000
1985,Legend,domgross,15502112
1985,Legend,intgross,15502112
1985,My Beautiful Laundrette,budget,400000
1985,My Beautiful Laundrette,domgross,NA
1985,My Beautiful Laundrette,intgross,NA
1985,Red Sonja,budget,17900000
1985,Red Sonja,domgross,6905861
1985,Red Sonja,intgross,6905861
1985,Return to Oz,budget,27000000
1985,Return to Oz,domgross,10618813
1985,Return to Oz,intgross,10618813
1985,The Color Purple,budget,15000000
1985,The Color Purple,domgross,93589701
1985,The Color Purple,intgross,93589701
1986,Aliens,budget,17000000
1986,Aliens,domgross,85160248
1986,Aliens,intgross,183316455
1986,Crocodile Dundee,budget,5000000
1986,Crocodile Dundee,domgross,174803506
1986,Crocodile Dundee,intgross,328000000
1986,Highlander,budget,16000000
1986,Highlander,domgross,5900000
1986,Highlander,intgross,12900000
1986,Howard The Duck,budget,30000000
1986,Howard The Duck,domgross,16295774
1986,Howard The Duck,intgross,16295774
1986,Little Shop of Horrors,budget,30000000
1986,Little Shop of Horrors,domgross,38747385
1986,Little Shop of Horrors,intgross,38747385
1986,Peggy Sue Got Married,budget,18000000
1986,Peggy Sue Got Married,domgross,41382841
1986,Peggy Sue Got Married,intgross,41382841
1986,Platoon,budget,6000000
1986,Platoon,domgross,137963328
1986,Platoon,intgross,137963328
1986,Stand By Me,budget,8000000
1986,Stand By Me,domgross,52287414
1986,Stand By Me,intgross,52287414
1986,The Clan of the Cave Bear,budget,15000000
1986,The Clan of the Cave Bear,domgross,1953732
1986,The Clan of the Cave Bear,intgross,1953732
1986,Top Gun,budget,15000000
1986,Top Gun,domgross,179800601
1986,Top Gun,intgross,356800601
1987,Beverly Hills Cop II,budget,20000000
1987,Beverly Hills Cop II,domgross,153665036
1987,Beverly Hills Cop II,intgross,276665036
1987,Evil Dead II,budget,3500000
1987,Evil Dead II,domgross,5923044
1987,Evil Dead II,intgross,5923044
1987,Fatal Attraction,budget,14000000
1987,Fatal Attraction,domgross,156645693
1987,Fatal Attraction,intgross,320100000
1987,"Good Morning, Vietnam",budget,13000000
1987,"Good Morning, Vietnam",domgross,123922370
1987,"Good Morning, Vietnam",intgross,123922370
1987,Hellraiser,budget,1000000
1987,Hellraiser,domgross,14564000
1987,Hellraiser,intgross,14564000
1987,Lethal Weapon,budget,15000000
1987,Lethal Weapon,domgross,65192350
1987,Lethal Weapon,intgross,120192350
1987,Predator,budget,18000000
1987,Predator,domgross,59735548
1987,Predator,intgross,98267558
1987,Radio Days,budget,16000000
1987,Radio Days,domgross,14792779
1987,Radio Days,intgross,14792779
1987,RoboCop,budget,120000000
1987,RoboCop,domgross,54764805
1987,RoboCop,intgross,221577330
1987,Spaceballs,budget,22700000
1987,Spaceballs,domgross,38119483
1987,Spaceballs,intgross,38119483
1987,Superman IV: The Quest for Peace,budget,17000000
1987,Superman IV: The Quest for Peace,domgross,11227824
1987,Superman IV: The Quest for Peace,intgross,11227824
1987,The Last Emperor,budget,25000000
1987,The Last Emperor,domgross,43984000
1987,The Last Emperor,intgross,43984000
1987,The Lost Boys,budget,8500000
1987,The Lost Boys,domgross,32222567
1987,The Lost Boys,intgross,32222567
1987,The Princess Bride,budget,15000000
1987,The Princess Bride,domgross,30857000
1987,The Princess Bride,intgross,30857000
1988,Action Jackson,budget,7000000
1988,Action Jackson,domgross,20257000
1988,Action Jackson,intgross,20257000
1988,Akira,budget,8000000
1988,Akira,domgross,19585
1988,Akira,intgross,19585
1988,Beetle Juice,budget,15000000
1988,Beetle Juice,domgross,73326666
1988,Beetle Juice,intgross,73326666
1988,Bloodsport,budget,1500000
1988,Bloodsport,domgross,11806119
1988,Bloodsport,intgross,11806119
1988,Child&#39;s Play,budget,9000000
1988,Child&#39;s Play,domgross,33244684
1988,Child&#39;s Play,intgross,44196684
1988,Dangerous Liaisons,budget,14000000
1988,Dangerous Liaisons,domgross,34700000
1988,Dangerous Liaisons,intgross,34700000
1988,Die Hard,budget,28000000
1988,Die Hard,domgross,81350242
1988,Die Hard,intgross,139109346
1988,Midnight Run,budget,30000000
1988,Midnight Run,domgross,38413606
1988,Midnight Run,intgross,81613606
1988,My Stepmother Is an Alien,budget,16000000
1988,My Stepmother Is an Alien,domgross,13854000
1988,My Stepmother Is an Alien,intgross,13854000
1988,Mystic Pizza,budget,6000000
1988,Mystic Pizza,domgross,12793213
1988,Mystic Pizza,intgross,12793213
1988,Poltergeist III,budget,9500000
1988,Poltergeist III,domgross,14114000
1988,Poltergeist III,intgross,14114000
1988,Rain Man,budget,25000000
1988,Rain Man,domgross,172825435
1988,Rain Man,intgross,412800000
1988,Scrooged,budget,32000000
1988,Scrooged,domgross,60328558
1988,Scrooged,intgross,60328558
1988,The Land Before Time,budget,12300000
1988,The Land Before Time,domgross,48092846
1988,The Land Before Time,intgross,81972846
1988,The Last Temptation of Christ,budget,7000000
1988,The Last Temptation of Christ,domgross,8373585
1988,The Last Temptation of Christ,intgross,8373585
1988,They Live,budget,4000000
1988,They Live,domgross,13000000
1988,They Live,intgross,13000000
1988,Twins,budget,15000000
1988,Twins,domgross,111936388
1988,Twins,intgross,216600000
1988,Who Framed Roger Rabbit,budget,70000000
1988,Who Framed Roger Rabbit,domgross,154112492
1988,Who Framed Roger Rabbit,intgross,351500000
1988,Young Guns,budget,13000000
1988,Young Guns,domgross,44726644
1988,Young Guns,intgross,44726644
1989,Back to the Future Part II,budget,40000000
1989,Back to the Future Part II,domgross,118450002
1989,Back to the Future Part II,intgross,332000000
1989,Batman,budget,35000000
1989,Batman,domgross,251188924
1989,Batman,intgross,411348924
1989,Bill &amp; Ted&#39;s Excellent Adventure,budget,10000000
1989,Bill &amp; Ted&#39;s Excellent Adventure,domgross,40485039
1989,Bill &amp; Ted&#39;s Excellent Adventure,intgross,40485039
1989,Dead Poets Society,budget,16400000
1989,Dead Poets Society,domgross,95860116
1989,Dead Poets Society,intgross,239500000
1989,Henry V,budget,9000000
1989,Henry V,domgross,10161099
1989,Henry V,intgross,10161099
1989,Indiana Jones and the Last Crusade,budget,48000000
1989,Indiana Jones and the Last Crusade,domgross,197171806
1989,Indiana Jones and the Last Crusade,intgross,474171806
1989,Licence to Kill,budget,42000000
1989,Licence to Kill,domgross,34667015
1989,Licence to Kill,intgross,156167015
1989,Major League,budget,11000000
1989,Major League,domgross,49793054
1989,Major League,intgross,49793054
1989,Road House,budget,10000000
1989,Road House,domgross,30050028
1989,Road House,intgross,30050028
1989,"Sex, Lies, and Videotape",budget,1200000
1989,"Sex, Lies, and Videotape",domgross,24741667
1989,"Sex, Lies, and Videotape",intgross,36741667
1989,Star Trek V: The Final Frontier,budget,30000000
1989,Star Trek V: The Final Frontier,domgross,52210049
1989,Star Trek V: The Final Frontier,intgross,70200000
1989,The Abyss,budget,70000000
1989,The Abyss,domgross,54243125
1989,The Abyss,intgross,54243125
1989,Troop Beverly Hills,budget,18000000
1989,Troop Beverly Hills,domgross,7190505
1989,Troop Beverly Hills,intgross,7190505
1989,UHF,budget,5000000
1989,UHF,domgross,6157157
1989,UHF,intgross,6157157
1990,Back to the Future Part III,budget,40000000
1990,Back to the Future Part III,domgross,87666629
1990,Back to the Future Part III,intgross,243700000
1990,Child&#39;s Play 2,budget,13000000
1990,Child&#39;s Play 2,domgross,26904572
1990,Child&#39;s Play 2,intgross,34166572
1990,Dark Angel (I Come in Peace),budget,7000000
1990,Dark Angel (I Come in Peace),domgross,4372561
1990,Dark Angel (I Come in Peace),intgross,4372561
1990,Die Hard 2,budget,70000000
1990,Die Hard 2,domgross,117323878
1990,Die Hard 2,intgross,239814025
1990,Edward Scissorhands,budget,20000000
1990,Edward Scissorhands,domgross,53976987
1990,Edward Scissorhands,intgross,53976987
1990,Flatliners,budget,26000000
1990,Flatliners,domgross,61308153
1990,Flatliners,intgross,61308153
1990,Ghost,budget,22000000
1990,Ghost,domgross,217631306
1990,Ghost,intgross,517600000
1990,Goodfellas,budget,25000000
1990,Goodfellas,domgross,46743809
1990,Goodfellas,intgross,46743809
1990,Home Alone,budget,15000000
1990,Home Alone,domgross,285761243
1990,Home Alone,intgross,476684675
1990,Nikita,budget,7000000
1990,Nikita,domgross,5017971
1990,Nikita,intgross,5017971
1990,Predator 2,budget,35000000
1990,Predator 2,domgross,28317513
1990,Predator 2,intgross,54768418
1990,Pretty Woman,budget,14000000
1990,Pretty Woman,domgross,178406268
1990,Pretty Woman,intgross,432645872
1990,The Hunt for Red October,budget,30000000
1990,The Hunt for Red October,domgross,120709866
1990,The Hunt for Red October,intgross,200500000
1990,Total Recall,budget,125000000
1990,Total Recall,domgross,58877969
1990,Total Recall,intgross,198615996
1990,Tremors,budget,10000000
1990,Tremors,domgross,16667084
1990,Tremors,intgross,16667084
1991,Beauty and the Beast,budget,20000000
1991,Beauty and the Beast,domgross,218951625
1991,Beauty and the Beast,intgross,451421625
1991,Bill &amp; Ted&#39;s Bogus Journey,budget,20000000
1991,Bill &amp; Ted&#39;s Bogus Journey,domgross,37537675
1991,Bill &amp; Ted&#39;s Bogus Journey,intgross,37537675
1991,Hook,budget,70000000
1991,Hook,domgross,119654823
1991,Hook,intgross,300854823
1991,Hudson Hawk,budget,65000000
1991,Hudson Hawk,domgross,17218916
1991,Hudson Hawk,intgross,17218916
1991,Robin Hood: Prince of Thieves,budget,50000000
1991,Robin Hood: Prince of Thieves,domgross,165493908
1991,Robin Hood: Prince of Thieves,intgross,390500000
1991,Slacker,budget,23000
1991,Slacker,domgross,1227508
1991,Slacker,intgross,1227508
1991,Star Trek VI: The Undiscovered Country,budget,27000000
1991,Star Trek VI: The Undiscovered Country,domgross,74888996
1991,Star Trek VI: The Undiscovered Country,intgross,96900000
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,budget,25000000
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,domgross,78656813
1991,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,intgross,78656813
1991,Terminator 2: Judgement Day,budget,100000000
1991,Terminator 2: Judgement Day,domgross,204859496
1991,Terminator 2: Judgement Day,intgross,516816151
1991,The Addams Family,budget,30000000
1991,The Addams Family,domgross,113502246
1991,The Addams Family,intgross,191502246
1991,The Naked Gun 2 1/2: The Smell of Fear,budget,23000000
1991,The Naked Gun 2 1/2: The Smell of Fear,domgross,86930411
1991,The Naked Gun 2 1/2: The Smell of Fear,intgross,86930411
1991,The Silence of the Lambs,budget,20000000
1991,The Silence of the Lambs,domgross,130726716
1991,The Silence of the Lambs,intgross,275726716
1991,White Fang,budget,14000000
1991,White Fang,domgross,34729091
1991,White Fang,intgross,34729091
1992,A Few Good Men,budget,33000000
1992,A Few Good Men,domgross,141340178
1992,A Few Good Men,intgross,236500000
1992,A League of Their Own,budget,40000000
1992,A League of Their Own,domgross,107533925
1992,A League of Their Own,intgross,132440066
1992,Aladdin,budget,28000000
1992,Aladdin,domgross,217350219
1992,Aladdin,intgross,504050219
1992,Alien 3,budget,55000000
1992,Alien 3,domgross,54927174
1992,Alien 3,intgross,158500000
1992,Army of Darkness,budget,11000000
1992,Army of Darkness,domgross,11502976
1992,Army of Darkness,intgross,21502976
1992,Batman Returns,budget,80000000
1992,Batman Returns,domgross,162833635
1992,Batman Returns,intgross,266824291
1992,Buffy the Vampire Slayer,budget,7000000
1992,Buffy the Vampire Slayer,domgross,14231669
1992,Buffy the Vampire Slayer,intgross,14231669
1992,Death Becomes Her,budget,55000000
1992,Death Becomes Her,domgross,58422650
1992,Death Becomes Her,intgross,149022650
1992,El Mariachi,budget,7000
1992,El Mariachi,domgross,2040920
1992,El Mariachi,intgross,2041928
1992,Glengarry Glen Ross,budget,12500000
1992,Glengarry Glen Ross,domgross,10725228
1992,Glengarry Glen Ross,intgross,10725228
1992,Hero,budget,42000000
1992,Hero,domgross,19487173
1992,Hero,intgross,66787173
1992,Home Alone 2: Lost in New York,budget,20000000
1992,Home Alone 2: Lost in New York,domgross,173585516
1992,Home Alone 2: Lost in New York,intgross,358994850
1992,Malcolm X,budget,35000000
1992,Malcolm X,domgross,48169910
1992,Malcolm X,intgross,48169910
1992,My Cousin Vinny,budget,11000000
1992,My Cousin Vinny,domgross,52929168
1992,My Cousin Vinny,intgross,52929168
1992,Reservoir Dogs,budget,1200000
1992,Reservoir Dogs,domgross,2832029
1992,Reservoir Dogs,intgross,2832029
1992,The Crying Game,budget,4000000
1992,The Crying Game,domgross,62546695
1992,The Crying Game,intgross,62546695
1992,The Mighty Ducks,budget,10000000
1992,The Mighty Ducks,domgross,50752337
1992,The Mighty Ducks,intgross,50752337
1992,The Muppet Christmas Carol,budget,12000000
1992,The Muppet Christmas Carol,domgross,27281507
1992,The Muppet Christmas Carol,intgross,27281507
1992,The Player,budget,8000000
1992,The Player,domgross,21706101
1992,The Player,intgross,28876702
1992,Wayne&#39;s World,budget,20000000
1992,Wayne&#39;s World,domgross,121697323
1992,Wayne&#39;s World,intgross,183097323
1993,Cliffhanger,budget,65000000
1993,Cliffhanger,domgross,84049211
1993,Cliffhanger,intgross,255000000
1993,Cool Runnings,budget,14000000
1993,Cool Runnings,domgross,68856263
1993,Cool Runnings,intgross,155056263
1993,Dazed and Confused,budget,6900000
1993,Dazed and Confused,domgross,7950889
1993,Dazed and Confused,intgross,7950889
1993,Gettysburg,budget,25000000
1993,Gettysburg,domgross,10731997
1993,Gettysburg,intgross,10731997
1993,Groundhog Day,budget,14600000
1993,Groundhog Day,domgross,70906973
1993,Groundhog Day,intgross,70906973
1993,Hocus Pocus,budget,28000000
1993,Hocus Pocus,domgross,39360491
1993,Hocus Pocus,intgross,39360491
1993,Jurassic Park,budget,63000000
1993,Jurassic Park,domgross,395708305
1993,Jurassic Park,intgross,1035626872
1993,Mrs. Doubtfire,budget,25000000
1993,Mrs. Doubtfire,domgross,219195051
1993,Mrs. Doubtfire,intgross,441286003
1993,Pieces of April,budget,300000
1993,Pieces of April,domgross,2528664
1993,Pieces of April,intgross,3590570
1993,Schindler&#39;s List,budget,25000000
1993,Schindler&#39;s List,domgross,96067179
1993,Schindler&#39;s List,intgross,321365567
1993,Super Mario Bros.,budget,42000000
1993,Super Mario Bros.,domgross,20844907
1993,Super Mario Bros.,intgross,20844907
1993,The Age of Innocence,budget,34000000
1993,The Age of Innocence,domgross,32014993
1993,The Age of Innocence,intgross,32014993
1993,The Fugitive,budget,44000000
